#{"t_start": 1711605831.8616843, "env_id": "drl-nav-v0"}
r,l,t
-52.243717,222,29.407
-13.889637,410,74.891519
-3.256422,84,84.035321
3.651246,513,145.089464
2.156495,161,165.722528
-51.801949,237,194.912051
-63.637795,513,246.830606
-8.993386,157,267.468084
9.276366,158,286.304964
-171.081578,149,308.731464
0.054602,21,316.712846
0.755342,57,328.639436
-65.562857,259,357.842216
-214.396113,285,391.887486
-232.170716,251,415.458476
-8.017605,175,438.867693
-24.654726,35,443.836329
-3.14987,116,461.354602
-20.952913,225,489.764944
-167.732415,190,517.504488
-107.505028,390,563.457248
-20.734096,224,600.262389
-105.447036,513,655.46882
-0.673212,96,674.613164
1.555131,46,686.295057
3.284799,67,700.03883
13.442932,403,755.97377
-14.487126,281,800.677595
-31.191364,128,814.535312
-4.891491,513,881.026543
-132.158449,276,919.325288
-3.880512,171,946.080401
8.87795,156,965.863905
-71.942607,506,1029.974023
5.982837,193,1056.145016
-21.019128,280,1094.019331
3.911677,126,1110.335304
14.327091,246,1146.543191
9.120065,291,1180.581129
-53.683764,274,1215.081746
11.167438,204,1235.999722
11.798126,342,1276.487372
12.723579,383,1325.069731
9.319357,206,1351.836754
11.253907,224,1383.987892
10.280357,247,1410.05139
11.464465,293,1449.137003
15.212222,327,1481.8869
12.280649,281,1519.666974
11.355579,278,1554.353702
12.863578,345,1596.998445
7.067676,513,1660.54648
1.970026,47,1674.955375
3.140779,69,1688.44398
-27.494945,513,1761.102046
0.168989,238,1800.93155
-21.119341,319,1837.159409
9.844312,195,1871.938434
11.942664,218,1902.112175
13.727724,286,1944.06952
11.837021,272,1976.804069
10.848621,201,2011.81497
-371.281838,296,2048.202792
-3.435579,214,2083.102408
10.979642,334,2120.410589
3.164059,250,2160.951892
-19.481834,244,2187.886167
-213.109353,314,2231.461216
-29.021224,204,2257.867616
-43.12281,210,2290.131791
-73.062107,513,2347.477198
5.316301,513,2413.867174
13.495603,234,2442.771719
9.245532,204,2469.203218
-24.745176,295,2509.897879
-116.794453,349,2557.712965
11.567405,222,2585.792661
-1.417045,227,2623.204886
-29.962277,292,2652.908437
-5.161385,220,2685.826465
-67.582427,262,2712.937534
-47.979909,213,2746.205564
-44.34789,292,2785.888762
-131.784366,236,2817.842483
9.604478,169,2837.822966
14.262617,334,2884.382091
0.326187,244,2911.434424
-49.250815,80,2921.076356
-6.522146,217,2958.424896
-29.352229,190,2977.722066
5.562893,513,3043.113632
9.460974,204,3068.089038
-11.988926,230,3099.2188
-249.220571,300,3130.278331
-7.877049,193,3160.944126
2.863204,83,3172.32934
-53.714593,178,3196.401661
-33.483122,513,3267.291336
1.877637,199,3301.283755
-23.925096,153,3322.373624
13.563758,370,3378.661922
-38.955496,255,3416.534327
-11.480759,66,3423.141215
12.32071,235,3465.014393
0.79141,76,3480.450721
2.483,121,3501.163083
